Kod;Województwo;Powiat;Gmina;Komentarz
06-214;mazowieckie;makowski;Krasnosielc;
06-216;mazowieckie;makowski;Sypniewo;
06-220;mazowieckie;makowski;Szelków;
06-225;mazowieckie;makowski;Rzewnie;
06-230;mazowieckie;makowski;Ró¿an;
06-231;mazowieckie;makowski;M³ynarze;
06-232;mazowieckie;makowski;Czerwonka;
06-300;mazowieckie;przasnyski;Przasnysz;
06-316;mazowieckie;przasnyski;Krzynow³oga Ma³a;
06-320;mazowieckie;ostro³êcki;Baranowo;
06-323;mazowieckie;przasnyski;Jednoro¿ec;
06-330;mazowieckie;przasnyski;Chorzele;
06-333;mazowieckie;przasnyski;Chorzele;
06-400;mazowieckie;ciechanowski;Ciechanów;
06-404;mazowieckie;ciechanowski;Opinogóra Górna;
06-405;mazowieckie;przasnyski;Krasne;
06-406;mazowieckie;ciechanowski;Opinogóra Górna;
06-407;mazowieckie;ciechanowski;Opinogóra Górna;
06-408;mazowieckie;przasnyski;Krasne;
06-410;mazowieckie;ciechanowski;Ciechanów;
06-413;mazowieckie;ciechanowski;Ciechanów;
06-415;mazowieckie;przasnyski;Czernice Borowe;
06-420;mazowieckie;ciechanowski;Go³ymin-Oœrodek;
06-425;mazowieckie;makowski;Karniewo;
06-430;mazowieckie;ciechanowski;Soñsk;
06-440;mazowieckie;ciechanowski;Soñsk;
06-445;mazowieckie;m³awski;Strzegowo;
06-450;mazowieckie;ciechanowski;Glinojeck;
06-452;mazowieckie;ciechanowski;Glinojeck;
06-455;mazowieckie;ciechanowski;Glinojeck;
06-456;mazowieckie;ciechanowski;Ojrzeñ;
06-458;mazowieckie;m³awski;Strzegowo;
06-460;mazowieckie;ciechanowski;Grudusk;
06-461;mazowieckie;ciechanowski;Regimin;
06-500;mazowieckie;m³awski;M³awa;
06-513;mazowieckie;m³awski;Wieczfnia Koœcielna;
06-516;mazowieckie;m³awski;Szyd³owo;
06-520;mazowieckie;m³awski;Dzierzgowo;
06-521;mazowieckie;m³awski;Wiœniewo;
06-522;mazowieckie;m³awski;Strzegowo;
06-540;mazowieckie;m³awski;Radzanów;
06-544;mazowieckie;m³awski;Lipowiec Koœcielny;
06-545;mazowieckie;m³awski;Lipowiec Koœcielny;
06-550;mazowieckie;m³awski;Szreñsk;
06-560;mazowieckie;m³awski;Stupsk;
06-561;mazowieckie;m³awski;Stupsk;
07-100;mazowieckie;wêgrowski;Wêgrów;
07-104;mazowieckie;wêgrowski;Stoczek;
07-106;mazowieckie;wêgrowski;Miedzna;
07-110;mazowieckie;wêgrowski;Grêbków;
07-111;mazowieckie;wêgrowski;Wierzbno;
07-120;mazowieckie;wêgrowski;Korytnica;
07-130;mazowieckie;wêgrowski;£ochów;
07-132;mazowieckie;wêgrowski;£ochów;
07-140;mazowieckie;wêgrowski;Sadowne;
07-200;mazowieckie;wyszkowski;Wyszków;
07-201;mazowieckie;wyszkowski;Wyszków;
07-202;mazowieckie;wyszkowski;Wyszków;
07-203;mazowieckie;wyszkowski;Somianka;
07-205;mazowieckie;wyszkowski;Rz¹œnik;
07-206;mazowieckie;wyszkowski;Somianka;
07-207;mazowieckie;wyszkowski;Rz¹œnik;
07-210;mazowieckie;wyszkowski;D³ugosiod³o;
07-211;mazowieckie;wyszkowski;D³ugosiod³o;
07-214;mazowieckie;pu³tuski;Zatory;
07-215;mazowieckie;pu³tuski;Obryte;
07-217;mazowieckie;pu³tuski;Zatory;
07-221;mazowieckie;wyszkowski;Brañszczyk;
07-230;mazowieckie;wyszkowski;Zabrodzie;
07-300;mazowieckie;ostrowski;Ostrów Mazowiecka;
07-302;mazowieckie;ostrowski;Ostrów Mazowiecka;
07-303;mazowieckie;ostrowski;Stary Lubotyñ;
07-304;mazowieckie;ostrowski;Ostrów Mazowiecka;
07-305;mazowieckie;ostrowski;Andrzejewo;
07-306;mazowieckie;ostrowski;Brok;
07-308;mazowieckie;ostrowski;Ostrów Mazowiecka;
07-310;mazowieckie;ostrowski;Ostrów Mazowiecka;
07-311;mazowieckie;ostrowski;W¹sewo;
07-319;mazowieckie;ostrowski;Ma³kinia Górna;
07-320;mazowieckie;ostrowski;Ma³kinia Górna;
07-322;mazowieckie;ostrowski;Nur;
07-323;mazowieckie;ostrowski;Zarêby Koœcielne;
07-324;mazowieckie;ostrowski;Szulborze Wielkie;
07-325;mazowieckie;ostrowski;Boguty-Pianki;
07-401;mazowieckie;Ostro³êka;Ostro³êka;
07-402;mazowieckie;ostro³êcki;Lelis;
07-405;mazowieckie;ostro³êcki;Troszyn;
07-407;mazowieckie;ostro³êcki;Czerwin;
07-409;mazowieckie;Ostro³êka;Ostro³êka;
07-410;mazowieckie;Ostro³êka;Ostro³êka;
07-411;mazowieckie;ostro³êcki;Rzekuñ;
07-415;mazowieckie;ostro³êcki;Olszewo-Borki;
07-416;mazowieckie;ostro³êcki;Olszewo-Borki;
07-417;mazowieckie;Ostro³êka;Ostro³êka;
07-420;mazowieckie;ostro³êcki;Kadzid³o;
07-430;mazowieckie;ostro³êcki;Myszyniec;
07-431;mazowieckie;ostro³êcki;Czarnia;
07-436;mazowieckie;ostro³êcki;£yse;
07-437;mazowieckie;ostro³êcki;£yse;
07-438;mazowieckie;ostro³êcki;£yse;
07-440;mazowieckie;ostro³êcki;Goworowo;
08-101;mazowieckie;Siedlce;Siedlce;
08-103;mazowieckie;siedlecki;Siedlce;
08-104;mazowieckie;siedlecki;Sucho¿ebry;
08-106;mazowieckie;siedlecki;Zbuczyn;
08-107;mazowieckie;siedlecki;Paprotnia;
08-108;mazowieckie;siedlecki;Korczew;
08-109;mazowieckie;siedlecki;Przesmyki;
08-110;mazowieckie;Siedlce;Siedlce;
08-111;mazowieckie;siedlecki;Zbuczyn;
08-112;mazowieckie;siedlecki;Wiœniew;
08-113;mazowieckie;siedlecki;Domanice;
08-114;mazowieckie;siedlecki;Skórzec;
08-116;mazowieckie;siedlecki;Wodynie;
08-117;mazowieckie;siedlecki;Wodynie;
08-119;mazowieckie;Siedlce;Siedlce;
08-122;mazowieckie;siedlecki;Kotuñ;
08-124;mazowieckie;siedlecki;Mokobody;
08-125;mazowieckie;siedlecki;Sucho¿ebry;
08-130;mazowieckie;siedlecki;Kotuñ;
08-140;mazowieckie;siedlecki;Mordy;
08-200;mazowieckie;³osicki;£osice;
08-205;mazowieckie;³osicki;Stara Kornica;
08-206;mazowieckie;³osicki;Huszlew;
08-207;mazowieckie;³osicki;Olszanka;
08-210;mazowieckie;³osicki;Platerów;
08-220;mazowieckie;³osicki;Sarnaki;
08-221;mazowieckie;³osicki;Sarnaki;
08-300;mazowieckie;soko³owski;Soko³ów Podlaski;
08-304;mazowieckie;soko³owski;Jab³onna Lacka;
08-307;mazowieckie;soko³owski;Repki;
08-311;mazowieckie;soko³owski;Bielany;
08-320;mazowieckie;soko³owski;Sterdyñ;
08-322;mazowieckie;soko³owski;Ceranów;
08-330;mazowieckie;soko³owski;Kosów Lacki;
08-331;mazowieckie;soko³owski;Sabnie;
08-400;mazowieckie;garwoliñski;Garwolin;
08-404;mazowieckie;garwoliñski;Górzno;
08-410;mazowieckie;garwoliñski;Garwolin;
08-412;mazowieckie;garwoliñski;Borowie;
08-420;mazowieckie;garwoliñski;Miastków Koœcielny;
08-430;mazowieckie;garwoliñski;¯elechów;
08-440;mazowieckie;garwoliñski;Pilawa;
08-441;mazowieckie;garwoliñski;Parysów;
08-443;mazowieckie;otwocki;Sobienie-Jeziory;
08-445;mazowieckie;otwocki;Osieck;
08-450;mazowieckie;garwoliñski;£askarzew;
08-455;mazowieckie;garwoliñski;Trojanów;
08-460;mazowieckie;garwoliñski;Sobolew;
08-470;mazowieckie;garwoliñski;Wilga;
08-480;mazowieckie;garwoliñski;Maciejowice;
08-500;lubelskie;rycki;Ryki;
08-503;lubelskie;rycki;Nowodwór;
08-504;lubelskie;rycki;U³ê¿;
08-530;lubelskie;rycki;Dêblin;
08-540;lubelskie;rycki;Stê¿yca;
08-550;lubelskie;rycki;K³oczew;
09-100;mazowieckie;p³oñski;P³oñsk;
09-110;mazowieckie;p³oñski;Sochocin;
09-120;mazowieckie;p³oñski;Nowe Miasto;
09-130;mazowieckie;p³oñski;Baboszewo;
09-131;mazowieckie;p³oñski;Joniec;
09-134;mazowieckie;¿uromiñski;Siemi¹tkowo;
09-135;mazowieckie;¿uromiñski;Siemi¹tkowo;
09-136;mazowieckie;p³oñski;Raci¹¿;
09-138;mazowieckie;p³oñski;Raci¹¿;
09-140;mazowieckie;p³oñski;Raci¹¿;
09-141;mazowieckie;p³oñski;Za³uski;
09-142;mazowieckie;p³oñski;Za³uski;
09-150;mazowieckie;p³oñski;Czerwiñsk nad Wis³¹;
09-151;mazowieckie;p³oñski;Czerwiñsk nad Wis³¹;
09-152;mazowieckie;p³oñski;Naruszewo;
09-162;mazowieckie;p³oñski;Naruszewo;
09-164;mazowieckie;p³oñski;Dzierz¹¿nia;
09-166;mazowieckie;p³oñski;Raci¹¿;
09-200;mazowieckie;sierpecki;Sierpc;
09-204;mazowieckie;sierpecki;Roœciszewo;
09-209;mazowieckie;p³ocki;Drobin;
09-210;mazowieckie;p³ocki;Drobin;
09-212;mazowieckie;sierpecki;Sierpc;
09-213;mazowieckie;sierpecki;Gozdowo;
09-214;mazowieckie;sierpecki;Mochowo;
09-216;mazowieckie;sierpecki;Szczutowo;
09-226;mazowieckie;sierpecki;Zawidz;
09-227;mazowieckie;sierpecki;Szczutowo;
09-228;mazowieckie;sierpecki;Mochowo;
09-230;mazowieckie;p³ocki;Bielsk;
09-300;mazowieckie;¿uromiñski;¯uromin;
09-303;mazowieckie;¿uromiñski;Lubowidz;
09-304;mazowieckie;¿uromiñski;Lubowidz;
09-310;mazowieckie;¿uromiñski;Kuczbork-Osada;
09-317;mazowieckie;¿uromiñski;Lutocin;
09-320;mazowieckie;¿uromiñski;Bie¿uñ;
09-321;mazowieckie;¿uromiñski;Bie¿uñ;
09-400;mazowieckie;P³ock;P³ock;
09-401;mazowieckie;P³ock;P³ock;
09-402;mazowieckie;P³ock;P³ock;
09-407;mazowieckie;P³ock;P³ock;
09-408;mazowieckie;P³ock;P³ock;
09-409;mazowieckie;P³ock;P³ock;
09-410;mazowieckie;P³ock;P³ock;
09-411;mazowieckie;p³ocki;Stara Bia³a;
09-412;mazowieckie;p³ocki;Stara Bia³a;
09-413;mazowieckie;p³ocki;Brudzeñ Du¿y;
09-414;mazowieckie;p³ocki;Brudzeñ Du¿y;
09-440;mazowieckie;p³ocki;StaroŸreby;
09-442;mazowieckie;p³ocki;Radzanowo;
09-450;mazowieckie;p³ocki;Wyszogród;
09-451;mazowieckie;p³ocki;Radzanowo;
09-452;mazowieckie;p³ocki;Bulkowo;
09-454;mazowieckie;p³ocki;Bulkowo;
09-460;mazowieckie;p³ocki;Ma³a Wieœ;
09-470;mazowieckie;p³ocki;Bodzanów;
09-471;mazowieckie;p³ocki;Bodzanów;
09-472;mazowieckie;p³ocki;S³upno;
09-500;mazowieckie;gostyniñski;Gostynin;
09-504;mazowieckie;gostyniñski;Gostynin;
09-505;mazowieckie;p³ocki;Nowy Duninów;
09-506;mazowieckie;p³ocki;Nowy Duninów;
09-520;mazowieckie;p³ocki;£¹ck;
09-522;mazowieckie;p³ocki;G¹bin;
09-530;mazowieckie;p³ocki;G¹bin;
09-533;mazowieckie;p³ocki;S³ubice;
09-540;mazowieckie;gostyniñski;Sanniki;
09-541;mazowieckie;gostyniñski;Pacyna;
09-550;mazowieckie;gostyniñski;Szczawin Koœcielny;
10-001;warmiñsko-mazurskie;Olsztyn;Olsztyn;ca³e miasto jako 1 kszta³t
10-370;warmiñsko-mazurskie;olsztyñski;Dywity;
10-371;warmiñsko-mazurskie;olsztyñski;Dywity;
10-373;warmiñsko-mazurskie;olsztyñski;Dywity;
10-374;warmiñsko-mazurskie;olsztyñski;Dywity;
10-376;warmiñsko-mazurskie;olsztyñski;Barczewo;
10-381;warmiñsko-mazurskie;olsztyñski;Dywity;
10-687;warmiñsko-mazurskie;olsztyñski;Purda;
11-001;warmiñsko-mazurskie;olsztyñski;Dywity;
11-008;warmiñsko-mazurskie;olsztyñski;Œwi¹tki;
11-010;warmiñsko-mazurskie;olsztyñski;Barczewo;
11-015;warmiñsko-mazurskie;olsztyñski;Olsztynek;
11-030;warmiñsko-mazurskie;olsztyñski;Purda;
11-034;warmiñsko-mazurskie;olsztyñski;Stawiguda;
11-036;warmiñsko-mazurskie;olsztyñski;Gietrzwa³d;
11-040;warmiñsko-mazurskie;olsztyñski;Dobre Miasto;
11-042;warmiñsko-mazurskie;olsztyñski;Jonkowo;
11-100;warmiñsko-mazurskie;lidzbarski;Lidzbark Warmiñski;
11-106;warmiñsko-mazurskie;lidzbarski;Kiwity;
11-130;warmiñsko-mazurskie;lidzbarski;Orneta;
11-135;warmiñsko-mazurskie;lidzbarski;Lubomino;
11-200;warmiñsko-mazurskie;bartoszycki;Bartoszyce;
11-210;warmiñsko-mazurskie;bartoszycki;Sêpopol;
11-214;warmiñsko-mazurskie;bartoszycki;Bartoszyce;
11-220;warmiñsko-mazurskie;bartoszycki;Górowo I³aweckie;
11-230;warmiñsko-mazurskie;bartoszycki;Bisztynek;
11-300;warmiñsko-mazurskie;olsztyñski;Biskupiec;
11-311;warmiñsko-mazurskie;olsztyñski;Kolno;
11-320;warmiñsko-mazurskie;olsztyñski;Jeziorany;
11-400;warmiñsko-mazurskie;kêtrzyñski;Kêtrzyn;
